epoch,step,test/AP/stenosis,test/F1,test/loss,test/mAP_30,test/mAP_50,test/mAP_50_95,test/mAP_75,test/mAR,test/precision,test/recall,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/stenosis,val/F1,val/ema_mAP_30,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_30,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
12,2799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.97786337393336e-05,9.97786337393336e-05,3.2254083635052666e-06,,,,,,,,,,,,,,
12,2849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.975536522688344e-05,9.975536522688344e-05,3.2246562113869004e-06,,,,,,,,,,,,,,
12,2899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.973093983717263e-05,9.973093983717263e-05,3.223866542612086e-06,,,,,,,,,,,,,,
12,2949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.970535029424354e-05,9.970535029424354e-05,3.223039584554499e-06,,,,,,,,,,,,,,
12,2963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03362511470913887,0.21468298137187958,0.3174188435077667,0.18927645683288574,0.04876217991113663,0.27296650409698486,10.729362487792969,0.30422815680503845,0.13422457873821259,0.03362511470913887,0.006413402501493692,0.25079745054244995,0.3547794222831726,0.15390749275684357
12,2963,,,,,,,,,,,3688.784912109375,3870.507568359375,3809.14208984375,3829.812744140625,3841.61572265625,0.001054102904163301,8.512479782104492,0.03393740952014923,0.0343623049557209,0.034362390637397766,0.0342746376991272,0.03306158259510994,0.7835121750831604,0.8380845785140991,0.7995021939277649,0.7861542701721191,0.9236376285552979,0.3546907305717468,0.35413458943367004,0.35629087686538696,0.35667452216148376,0.3440120220184326,,,,,,,,,,,,,,,,,
13,2999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.967861115001142e-05,9.967861115001142e-05,3.222175109840464e-06,,,,,,,,,,,,,,
13,3049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.965070785256103e-05,9.965070785256103e-05,3.2212731184699805e-06,,,,,,,,,,,,,,
13,3099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.962164767784998e-05,9.962164767784998e-05,3.2203338378167246e-06,,,,,,,,,,,,,,
13,3149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.959143062587827e-05,9.959143062587827e-05,3.2193570405070204e-06,,,,,,,,,,,,,,
