Run: dataset2_augs
Path: /home/dsa/stenosis/rfdetr_runs/dataset2_augs
Config: T=1 (single-frame)  img_size=512  num_classes=1

==========================================================================================
Dataset: cadica_50plus_new
  videos=160  frames=2215
==========================================================================================

Per-video metrics:
  video          frames   gt    AP30   AP50   AP75 AP5095      F1      P      R    thr   Frag  FragRt
  p42_v5             16   32   0.229  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p42_v7             16   16   0.008  0.000  0.000  0.000   0.003  0.002  0.250  0.000      3  0.1875

MACRO mean across videos:
  AP30     0.3567
  AP50     0.1701
  AP75     0.0090
  AP5095   0.0474
  F1       0.2261
  Frag     0.438
  FragRate 0.0200

MICRO pooled across all frames:
  AP30     0.2272
  AP50     0.0543
  AP75     0.0012
  AP5095   0.0124
  F1       0.1629
  P        0.1422
  R        0.1907
  thr      0.2200
  Frag     70   (over 3089 track-frames)
  FragRate 0.0227

==========================================================================================
Dataset: dataset2_split_test
  videos=31  frames=1252
==========================================================================================

Per-video metrics:
  video          frames   gt    AP30   AP50   AP75 AP5095      F1      P      R    thr   Frag  FragRt
  14_002_v5          31   31   0.970  0.629  0.007  0.132   0.754  0.767  0.742  0.430      2  0.0645
  14_002_v8          20   20   0.902  0.881  0.176  0.371   0.857  1.000  0.750  0.420      0  0.0000
  14_006_v1         113  113   0.373  0.035  0.000  0.005   0.122  0.093  0.177  0.210     11  0.0973
  14_015_v1          67   67   0.839  0.663  0.067  0.252   0.654  0.875  0.522  0.570      4  0.0597
  14_029_v1          41   41   0.021  0.016  0.000  0.004   0.050  0.027  0.390  0.060      3  0.0732
  14_029_v2          51   51   0.377  0.055  0.000  0.007   0.176  0.141  0.235  0.170      4  0.0784
  14_029_v4          51   51   0.105  0.029  0.000  0.004   0.111  0.086  0.157  0.230      7  0.1373
  14_029_v5          71   71   0.821  0.419  0.003  0.109   0.503  0.455  0.563  0.310      6  0.0845
  14_029_v6          71   71   0.398  0.079  0.000  0.016   0.193  0.168  0.225  0.300      1  0.0141
  14_029_v7          41   41   0.561  0.059  0.000  0.009   0.192  0.219  0.171  0.330      1  0.0244
  14_032_v4          46   46   0.021  0.003  0.000  0.000   0.011  0.008  0.022  0.130      0  0.0000
  14_032_v6          46   46   0.131  0.026  0.000  0.004   0.103  0.070  0.196  0.130      3  0.0652
  14_032_v7          41   41   0.012  0.001  0.000  0.000   0.016  0.009  0.073  0.070      0  0.0000
  14_066_v10         41   41   0.189  0.115  0.002  0.030   0.243  0.189  0.341  0.230      1  0.0244
  14_066_v2          36   36   0.155  0.041  0.001  0.007   0.145  0.092  0.333  0.140      1  0.0278
  14_066_v3          16   16   0.946  0.601  0.028  0.174   0.667  0.714  0.625  0.430      2  0.1250
  14_066_v7          36   36   0.536  0.497  0.009  0.122   0.543  0.446  0.694  0.210      2  0.0556
  14_066_v8          51   51   0.787  0.377  0.004  0.087   0.535  0.540  0.529  0.450      5  0.0980
  14_066_v9          16   16   0.174  0.012  0.000  0.003   0.080  0.111  0.062  0.350      0  0.0000
  14_083_v1          29   29   0.345  0.144  0.000  0.030   0.217  0.143  0.448  0.160      4  0.1379
  14_083_v6          34   34   0.898  0.623  0.010  0.148   0.708  0.742  0.676  0.470      5  0.1471
  14_083_v7          21   21   0.785  0.575  0.010  0.119   0.615  0.667  0.571  0.330      4  0.1905
  14_091_v1          11   11   0.065  0.043  0.003  0.016   0.086  0.045  0.727  0.060      2  0.1818
  14_096_v2          51   51   0.214  0.153  0.001  0.034   0.283  0.183  0.627  0.100      7  0.1373
  14_096_v3          46   46   0.992  0.893  0.000  0.201   0.915  0.896  0.935  0.350      2  0.0435
  14_096_v4          41   41   1.000  0.961  0.044  0.245   0.976  0.976  0.976  0.320      1  0.0244
  14_096_v5          46   46   0.154  0.000  0.000  0.000   0.001  0.001  0.109  0.000      3  0.0652
  14_096_v6          51   51   0.055  0.001  0.000  0.000   0.004  0.002  0.137  0.020      4  0.0784
  14_099_v5          15   15   0.237  0.181  0.006  0.063   0.364  0.333  0.400  0.220      0  0.0000
  14_099_v6          14   14   1.000  0.962  0.176  0.352   0.966  0.933  1.000  0.300      0  0.0000
  14_099_v8           7    7   0.878  0.712  0.001  0.127   0.769  0.833  0.714  0.310      0  0.0000

MACRO mean across videos:
  AP30     0.4820
  AP50     0.3157
  AP75     0.0177
  AP5095   0.0862
  F1       0.3825
  Frag     2.742
  FragRate 0.0657

MICRO pooled across all frames:
  AP30     0.3950
  AP50     0.2022
  AP75     0.0039
  AP5095   0.0485
  F1       0.3031
  P        0.4356
  R        0.2324
  thr      0.4400
  Frag     85   (over 1252 track-frames)
  FragRate 0.0679

